date,new_cases
2020-08-21,1074033.0
2020-08-22,1056998.0
2020-08-23,824979.0
2020-08-24,943025.0
2020-08-25,996827.0
2020-08-26,1143600.0
2020-08-27,1177530.0
2020-08-28,1169215.0
2020-08-29,1054225.0
2020-08-30,886195.0
2020-08-31,1095319.0
2020-09-01,1086834.0
2020-09-02,1152588.0
2020-09-03,1168317.0
2020-09-04,1234248.0
2020-09-05,1108868.0
2020-09-06,932627.0
2020-09-07,945571.0
2020-09-08,1009169.0
2020-09-09,1167869.0
2020-09-10,1248503.0
2020-09-11,1300572.0
2020-09-12,1175887.0
2020-09-13,1008213.0
2020-09-14,1116354.0
2020-09-15,1150961.0
2020-09-16,1257283.0
2020-09-17,1298329.0
2020-09-18,1355936.0
2020-09-19,1194469.0
2020-09-20,1046697.0
2020-09-21,1092263.0
2020-09-22,1171282.0
2020-09-23,1290346.0
2020-09-24,1329106.0
2020-09-25,1371907.0
2020-09-26,1168710.0
2020-09-27,1017513.0
2020-09-28,1105400.0
2020-09-29,1155615.0
2020-09-30,1356621.0
2020-10-01,1324801.0
2020-10-02,1368862.0
2020-10-03,1227549.0
2020-10-04,1071218.0
2020-10-05,1302855.0
2020-10-06,1312853.0
2020-10-07,1466046.0
2020-10-08,1511589.0
2020-10-09,1522005.0
2020-10-10,1488060.0
2020-10-11,1205076.0
2020-10-12,1255834.0
2020-10-13,1348031.0
2020-10-14,1622950.0
2020-10-15,1747234.0
2020-10-16,1751443.0
2020-10-17,1580232.0
2020-10-18,1409499.0
2020-10-19,1627824.0
2020-10-20,1672153.0
2020-10-21,1916270.0
2020-10-22,2063767.0
2020-10-23,2161866.0
2020-10-24,1962291.0
2020-10-25,1539851.0
2020-10-26,2166302.0
2020-10-27,2044161.0
2020-10-28,2277321.0
2020-10-29,2430142.0
2020-10-30,2521838.0
2020-10-31,2051118.0
2020-11-01,1900767.0
2020-11-02,2513074.0
2020-11-03,2431966.0
2020-11-04,2410241.0
2020-11-05,2726266.0
2020-11-06,2727680.0
2020-11-07,2605095.0
2020-11-08,2105404.0
2020-11-09,2182663.0
2020-11-10,2498691.0
2020-11-11,2730883.0
2020-11-12,2788675.0
2020-11-13,2845119.0
2020-11-14,2489768.0
2020-11-15,2033837.0
2020-11-16,2278013.0
2020-11-17,2645534.0
2020-11-18,2702206.0
2020-11-19,2811219.0
2020-11-20,2881622.0
2020-11-21,2494773.0
2020-11-22,2051174.0
2020-11-23,2257098.0
2020-11-24,2533371.0
2020-11-25,2685508.0
2020-11-26,2530968.0
2020-11-27,2919101.0
2020-11-28,2529865.0
2020-11-29,2015146.0
2020-11-30,2124992.0
2020-12-01,2626224.0
2020-12-02,2724955.0
2020-12-03,2916939.0
2020-12-04,2892839.0
2020-12-05,2722556.0
2020-12-06,2238181.0
2020-12-07,2187945.0
2020-12-08,2705102.0
2020-12-09,2840984.0
2020-12-10,2875545.0
2020-12-11,2979562.0
2020-12-12,2695020.0
2020-12-13,2238493.0
2020-12-14,2255660.0
2020-12-15,2804373.0
2020-12-16,3067370.0
2020-12-17,3129145.0
2020-12-18,3057507.0
2020-12-19,2606038.0
2020-12-20,2238915.0
2020-12-21,2308596.0
2020-12-22,2819865.0
2020-12-23,2932583.0
2020-12-24,2911528.0
2020-12-25,2054262.0
2020-12-26,2120430.0
2020-12-27,1705407.0
2020-12-28,2089127.0
2020-12-29,2846769.0
2020-12-30,3133748.0
2020-12-31,3483030.0
2021-01-01,2428437.0
2021-01-02,2420162.0
2021-01-03,2160954.0
2021-01-04,2336419.0
2021-01-05,3160788.0
2021-01-06,3358453.0
2021-01-07,3789268.0
2021-01-08,3467207.0
2021-01-09,3156355.0
2021-01-10,2444009.0
2021-01-11,2578483.0
2021-01-12,2977363.0
2021-01-13,3179645.0
2021-01-14,3192844.0
2021-01-15,3243224.0
2021-01-16,2716193.0
2021-01-17,2191486.0
2021-01-18,2214132.0
2021-01-19,2506709.0
2021-01-20,2981654.0
2021-01-21,2776266.0
2021-01-22,2813466.0
2021-01-23,2398416.0
2021-01-24,1929424.0
2021-01-25,2067548.0
2021-01-26,2386856.0
2021-01-27,2580214.0
2021-01-28,2590710.0
2021-01-29,2509270.0
2021-01-30,2181859.0
2021-01-31,1620141.0
2021-02-01,1899259.0
2021-02-02,1990568.0
2021-02-03,2248592.0
2021-02-04,1994799.0
2021-02-05,2290855.0
2021-02-06,1821505.0
2021-02-07,1475406.0
2021-02-08,1444742.0
2021-02-09,1729542.0
2021-02-10,1888293.0
2021-02-11,1890433.0
2021-02-12,1827342.0
2021-02-13,1599725.0
